[2025-08-23 19:06:28,760: INFO: main: Starting the project]
[2025-08-23 19:06:55,812: INFO: main: Starting the project]
[2025-09-03 16:45:38,645: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-09-03 16:45:38,667: INFO: common: yaml file: params.yaml loaded successfully]
[2025-09-03 16:49:52,540: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-09-03 16:49:52,546: INFO: common: yaml file: params.yaml loaded successfully]
[2025-09-03 16:50:05,908: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-09-03 16:50:05,911: INFO: common: yaml file: params.yaml loaded successfully]
[2025-09-03 16:55:05,991: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-09-03 16:55:05,995: INFO: common: yaml file: params.yaml loaded successfully]
[2025-09-03 16:56:20,068: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-09-03 16:56:20,071: INFO: common: yaml file: params.yaml loaded successfully]
[2025-09-03 17:01:19,934: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-09-03 17:01:19,954: INFO: common: yaml file: params.yaml loaded successfully]
[2025-09-03 17:01:19,965: INFO: common: created directory at: artifacts]
[2025-09-03 17:01:19,968: INFO: common: created directory at: artifacts/data_ingestion]
[2025-09-03 17:01:19,974: INFO: 3639088304: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-09-03 17:02:36,929: INFO: 3639088304: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
